"","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","stateProvince","habitat","cl10902","scientificName","basisOfRecord","kingdom","phylum","class","order","family","taxonRank","dataResourceName"
"498",-35.5523670345207,149.091109,3000,"Australian Capital Territory","","Non Forest","Pseudonaja textilis","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","NSW BioNet Atlas"
"499",-35.5502000345179,148.777,2000,"Australian Capital Territory","","Eucalypt Medium Woodland","Austrelaps ramsayi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"500",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"501",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"502",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"503",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"504",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"505",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus heatwolei","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"506",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"507",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"508",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"509",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"510",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"511",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"512",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"513",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"514",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"515",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"516",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"517",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"518",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"519",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"520",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"521",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"522",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"523",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"524",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"525",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"526",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
